Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,86338,2014,3,5,3.2
IDCJAC0016,86338,2014,3,6,23.5
IDCJAC0016,86338,2014,3,7,11.6
IDCJAC0016,86338,2014,3,8,21.1
IDCJAC0016,86338,2014,3,9,22.3
IDCJAC0016,86338,2014,3,10,13.1
IDCJAC0016,86338,2014,3,11,5
IDCJAC0016,86338,2014,3,12,20.7
IDCJAC0016,86338,2014,3,13,21.5
IDCJAC0016,86338,2014,3,14,21.2
IDCJAC0016,86338,2014,3,15,10.6
IDCJAC0016,86338,2014,3,16,9.6
IDCJAC0016,86338,2014,3,17,7.2
IDCJAC0016,86338,2014,3,18,13.8
IDCJAC0016,86338,2014,3,19,20.7
IDCJAC0016,86338,2014,3,20,20.7
IDCJAC0016,86338,2014,3,21,11.2
IDCJAC0016,86338,2014,3,22,11.5
IDCJAC0016,86338,2014,3,23,8.1
IDCJAC0016,86338,2014,3,24,6
IDCJAC0016,86338,2014,3,25,16.4
IDCJAC0016,86338,2014,3,26,12.8
IDCJAC0016,86338,2014,3,27,6.9
IDCJAC0016,86338,2014,3,28,11.8
IDCJAC0016,86338,2014,3,29,16.7
IDCJAC0016,86338,2014,3,30,16.3
IDCJAC0016,86338,2014,3,31,16.9
IDCJAC0016,86338,2014,4,1,15.6
IDCJAC0016,86338,2014,4,2,4
IDCJAC0016,86338,2014,4,3,3.9
IDCJAC0016,86338,2014,4,4,7.8
IDCJAC0016,86338,2014,4,5,12.7
IDCJAC0016,86338,2014,4,6,14.4
IDCJAC0016,86338,2014,4,7,10.7
IDCJAC0016,86338,2014,4,8,3.7
IDCJAC0016,86338,2014,4,9,3.3
IDCJAC0016,86338,2014,4,10,3.2
IDCJAC0016,86338,2014,4,11,4
IDCJAC0016,86338,2014,4,12,9.7
IDCJAC0016,86338,2014,4,13,14
IDCJAC0016,86338,2014,4,14,12.2
IDCJAC0016,86338,2014,4,15,12.6
IDCJAC0016,86338,2014,4,16,12.6
IDCJAC0016,86338,2014,4,17,14.4
IDCJAC0016,86338,2014,4,18,6.9
IDCJAC0016,86338,2014,4,19,9
IDCJAC0016,86338,2014,4,20,8.3
IDCJAC0016,86338,2014,4,21,10.4
IDCJAC0016,86338,2014,4,22,2.5
IDCJAC0016,86338,2014,4,23,11.8
IDCJAC0016,86338,2014,4,24,12.9
IDCJAC0016,86338,2014,4,25,13.8
IDCJAC0016,86338,2014,4,26,3.8
IDCJAC0016,86338,2014,4,27,12.9
IDCJAC0016,86338,2014,4,28,9.5
IDCJAC0016,86338,2014,4,29,2.2
IDCJAC0016,86338,2014,4,30,9.5
IDCJAC0016,86338,2014,5,1,9.8
IDCJAC0016,86338,2014,5,2,5
IDCJAC0016,86338,2014,5,3,8.1
IDCJAC0016,86338,2014,5,4,7
IDCJAC0016,86338,2014,5,5,4.7
IDCJAC0016,86338,2014,5,6,8.5
IDCJAC0016,86338,2014,5,7,9
IDCJAC0016,86338,2014,5,8,11.7
IDCJAC0016,86338,2014,5,9,7.5
IDCJAC0016,86338,2014,5,10,3.9
IDCJAC0016,86338,2014,5,11,9.7
IDCJAC0016,86338,2014,5,12,10.7
IDCJAC0016,86338,2014,5,13,10.1
IDCJAC0016,86338,2014,5,14,10.4
IDCJAC0016,86338,2014,5,15,10.2
IDCJAC0016,86338,2014,5,16,9.1
IDCJAC0016,86338,2014,5,17,4.3
IDCJAC0016,86338,2014,5,18,7.4
IDCJAC0016,86338,2014,5,19,7.7
IDCJAC0016,86338,2014,5,20,3.9
IDCJAC0016,86338,2014,5,21,9.3
IDCJAC0016,86338,2014,5,22,6.2
IDCJAC0016,86338,2014,5,23,5.1
IDCJAC0016,86338,2014,5,24,7.4
IDCJAC0016,86338,2014,5,25,8.3
IDCJAC0016,86338,2014,5,26,4.2
IDCJAC0016,86338,2014,5,27,3.3
IDCJAC0016,86338,2014,5,28,3.7
IDCJAC0016,86338,2014,5,29,5.2
IDCJAC0016,86338,2014,5,30,9.1
IDCJAC0016,86338,2014,5,31,4.7
IDCJAC0016,86338,2014,6,1,3.3
IDCJAC0016,86338,2014,6,2,4.8
IDCJAC0016,86338,2014,6,3,4.2
IDCJAC0016,86338,2014,6,4,4.7
IDCJAC0016,86338,2014,6,5,7.5
IDCJAC0016,86338,2014,6,6,7.5
IDCJAC0016,86338,2014,6,7,6
IDCJAC0016,86338,2014,6,8,6.7
IDCJAC0016,86338,2014,6,9,7.9
IDCJAC0016,86338,2014,6,10,7.4
IDCJAC0016,86338,2014,6,11,7.6
IDCJAC0016,86338,2014,6,12,4.3
IDCJAC0016,86338,2014,6,13,7.3
IDCJAC0016,86338,2014,6,14,4.6
IDCJAC0016,86338,2014,6,15,7.4
IDCJAC0016,86338,2014,6,16,5.6
IDCJAC0016,86338,2014,6,17,5.8
IDCJAC0016,86338,2014,6,18,4.7
IDCJAC0016,86338,2014,6,19,6.4
IDCJAC0016,86338,2014,6,20,6.8
IDCJAC0016,86338,2014,6,21,6.1
IDCJAC0016,86338,2014,6,22,6.8
IDCJAC0016,86338,2014,6,23,4.2
IDCJAC0016,86338,2014,6,24,3.7
IDCJAC0016,86338,2014,6,25,4.9
IDCJAC0016,86338,2014,6,26,4.9
